Identifier,Name,Pitch,Set,Set number,Edition,Foiling,Treatment,Have,Want in trade,Want to buy,Extra for trade,Extra to sell
"aether-ironweave","Aether Ironweave","","Monarch","MON230",First,,,,,,,
"aether-ironweave","Aether Ironweave","","Monarch","MON230",First,Cold,,,,,,
"aether-ironweave","Aether Ironweave","","Chane Blitz Deck","CHN005",,,,,,,,
"aether-ironweave","Aether Ironweave","","Promos","FAB149",,Gold,,,,,,
"aether-quickening-red","Aether Quickening","Red","Rosetta","ROS183",,,,4,,,3,
"aether-quickening-red","Aether Quickening","Red","Verdance Blitz Deck","VER012",,,,,,,,
"aether-quickening-red","Aether Quickening","Red","Oscilio Blitz Deck","OSC011",,,,,,,,
"aether-quickening-red","Aether Quickening","Red","Dynasty","DYN197",,,,3,,,0,
"aether-quickening-red","Aether Quickening","Red","Dynasty","DYN197",,Rainbow,,0,,,0,
"aether-quickening-red","Aether Quickening","Red","Promos","FAB112",,Rainbow,Extended Art,,,,,
"aether-quickening-yellow","Aether Quickening","Yellow","Rosetta","ROS184",,,,4,,,3,
"aether-quickening-yellow","Aether Quickening","Yellow","Dynasty","DYN198",,,,2,,,0,
"aether-quickening-yellow","Aether Quickening","Yellow","Dynasty","DYN198",,Rainbow,,1,,,0,
"aether-quickening-yellow","Aether Quickening","Yellow","Promos","FAB113",,Rainbow,Extended Art,,,,,
"aether-quickening-blue","Aether Quickening","Blue","Blaze Silver Age Deck","SBZ024",,,,,,,,
"aether-quickening-blue","Aether Quickening","Blue","Rosetta","ROS185",,,,7,,,6,
"aether-quickening-blue","Aether Quickening","Blue","Dynasty","DYN199",,,,3,,,0,
"aether-quickening-blue","Aether Quickening","Blue","Dynasty","DYN199",,Rainbow,,0,,,0,
"aether-quickening-blue","Aether Quickening","Blue","Promos","FAB114",,Rainbow,Extended Art,,,,,
"aether-sink-yellow","Aether Sink","Yellow","History Pack 1","1HP199",,,,2,,,1,
"aether-sink-yellow","Aether Sink","Yellow","Arcane Rising","ARC017",Unlimited,,,3,,,0,
"aether-sink-yellow","Aether Sink","Yellow","Arcane Rising","ARC017",Unlimited,Rainbow,,0,,,0,
"aether-sink-yellow","Aether Sink","Yellow","Arcane Rising","ARC017",First,,,,,,,
"aether-sink-yellow","Aether Sink","Yellow","Arcane Rising","ARC017",First,Rainbow,,,,,,
"aether-slash-red","Aether Slash","Red","Dynasty","DYN182",,,,4,,,1,
"aether-slash-red","Aether Slash","Red","Dynasty","DYN182",,Rainbow,,0,,,0,
"aether-slash-yellow","Aether Slash","Yellow","Dynasty","DYN183",,,,2,,,0,
"aether-slash-yellow","Aether Slash","Yellow","Dynasty","DYN183",,Rainbow,,1,,,0,
"aether-slash-blue","Aether Slash","Blue","Dynasty","DYN184",,,,4,,,1,
"aether-slash-blue","Aether Slash","Blue","Dynasty","DYN184",,Rainbow,,0,,,0,
"aether-spindle-red","Aether Spindle","Red","Blaze Silver Age Deck","SBZ013",,,,,,,,
"aether-spindle-red","Aether Spindle","Red","History Pack 1","1HP314",,,,1,,,0,
"aether-spindle-red","Aether Spindle","Red","Arcane Rising","ARC126",Unlimited,,,3,,,0,
"aether-spindle-red","Aether Spindle","Red","Arcane Rising","ARC126",Unlimited,Rainbow,,0,,,0,
"aether-spindle-red","Aether Spindle","Red","Arcane Rising","ARC126",First,,,,,,,
"aether-spindle-red","Aether Spindle","Red","Arcane Rising","ARC126",First,Rainbow,Alternate Text,,,,,
"aether-spindle-yellow","Aether Spindle","Yellow","History Pack 1","1HP315",,,,2,,,0,
"aether-spindle-yellow","Aether Spindle","Yellow","Arcane Rising","ARC127",Unlimited,,,2,,,0,
"aether-spindle-yellow","Aether Spindle","Yellow","Arcane Rising","ARC127",Unlimited,Rainbow,,0,,,0,
"aether-spindle-yellow","Aether Spindle","Yellow","Arcane Rising","ARC127",First,,,,,,,
"aether-spindle-yellow","Aether Spindle","Yellow","Arcane Rising","ARC127",First,Rainbow,Alternate Text,,,,,
"aether-spindle-blue","Aether Spindle","Blue","Blaze Silver Age Deck","SBZ025",,,,,,,,
"aether-spindle-blue","Aether Spindle","Blue","History Pack 1","1HP316",,,,2,,,1,
"aether-spindle-blue","Aether Spindle","Blue","Arcane Rising","ARC128",Unlimited,,,3,,,0,
"aether-spindle-blue","Aether Spindle","Blue","Arcane Rising","ARC128",Unlimited,Rainbow,,0,,,0,
"aether-spindle-blue","Aether Spindle","Blue","Arcane Rising","ARC128",First,,,,,,,
"aether-spindle-blue","Aether Spindle","Blue","Arcane Rising","ARC128",First,Rainbow,Alternate Text,,,,,
"aether-wildfire-red","Aether Wildfire","Red","Everfest","EVR123",First,,,1,,,0,
"aether-wildfire-red","Aether Wildfire","Red","Everfest","EVR123",First,Rainbow,,0,,,0,
"aether-wildfire-red","Aether Wildfire","Red","Everfest","EVR123",First,Rainbow,Extended Art,0,,,0,
"aetherize-blue","Aetherize","Blue","Crucible of War","CRU164",Unlimited,,,1,,,0,
"aetherize-blue","Aetherize","Blue","Crucible of War","CRU164",Unlimited,Rainbow,,0,,,0,
"aetherize-blue","Aetherize","Blue","Crucible of War","CRU164",First,,,,,,,
"aetherize-blue","Aetherize","Blue","Crucible of War","CRU164",First,Rainbow,Alternate Text,,,,,
"aethersling-red","Aethersling","Red","Omens of the Third Age","OMN134",,,,1,,,0,
"aethersling-red","Aethersling","Red","Omens of the Third Age","OMN134",,Rainbow,,0,,,0,
"aetherstorm-wellingtons","Aetherstorm Wellingtons","","Blaze Silver Age Deck","SBZ007",,,,,,,,
"aetherstorm-wellingtons","Aetherstorm Wellingtons","","Iyslander Silver Age Deck","SIY008",,,,,,,,
"aetherstorm-wellingtons","Aetherstorm Wellingtons","","Compendium of Rathe","PEN110",,,,2,,,1,
"aetherstorm-wellingtons","Aetherstorm Wellingtons","","Compendium of Rathe","PEN110",,Cold,,0,,,0,
"affirm-loyalty-red","Affirm Loyalty","Red","The Hunted","HNT103",,,,4,,,1,
"affirm-loyalty-red","Affirm Loyalty","Red","The Hunted","HNT103",,Rainbow,,0,,,0,
"affirm-loyalty-red","Affirm Loyalty","Red","Fang Blitz Deck","FNG009",,,,,,,,
"affirm-loyalty-red","Affirm Loyalty","Red","GEM","GEM012",,,Extended Art,1,,,,
"affirm-loyalty-red","Affirm Loyalty","Red","GEM","GEM012",,Rainbow,Extended Art,0,,,,
"aftershock-red","Aftershock","Red","Mastery Pack: Guardian","MPG035",,,,0,,,,
"aftershock-red","Aftershock","Red","Mastery Pack: Guardian","MPG035",,Rainbow,,0,,,,
"aftershock-yellow","Aftershock","Yellow","Mastery Pack: Guardian","MPG036",,,,3,,,0,
"aftershock-yellow","Aftershock","Yellow","Mastery Pack: Guardian","MPG036",,Rainbow,,0,,,0,
"aftershock-blue","Aftershock","Blue","Mastery Pack: Guardian","MPG037",,,,3,,,0,
"aftershock-blue","Aftershock","Blue","Mastery Pack: Guardian","MPG037",,Rainbow,,0,,,0,
"aggressive-pounce-red","Aggressive Pounce","Red","Compendium of Rathe","PEN009",,,,0,,,,
"aggressive-pounce-red","Aggressive Pounce","Red","Compendium of Rathe","PEN009",,Rainbow,,0,,,,
"aggressive-pounce-red","Aggressive Pounce","Red","GEM","GEM114",,,Extended Art,2,,,,
"aggressive-pounce-red","Aggressive Pounce","Red","GEM","GEM114",,Rainbow,Extended Art,1,,,,
"aggressive-pounce-yellow","Aggressive Pounce","Yellow","Compendium of Rathe","PEN010",,,,1,,,0,
"aggressive-pounce-yellow","Aggressive Pounce","Yellow","Compendium of Rathe","PEN010",,Rainbow,,0,,,0,
"aggressive-pounce-blue","Aggressive Pounce","Blue","Compendium of Rathe","PEN011",,,,4,,,1,
"aggressive-pounce-blue","Aggressive Pounce","Blue","Compendium of Rathe","PEN011",,Rainbow,,0,,,0,
"agile-engagement-red","Agile Engagement","Red","Dorinthea Silver Age Deck","SDO012",,,,,,,,
"agile-engagement-red","Agile Engagement","Red","Heavy Hitters","HVY115",,,,9,,,6,
"agile-engagement-red","Agile Engagement","Red","Heavy Hitters","HVY115",,Rainbow,,0,,,0,
"agile-engagement-red","Agile Engagement","Red","Olympia Blitz Deck","OLA012",,,,,,,,
"agile-engagement-red","Agile Engagement","Red","Kassai Blitz Deck","KSI012",,,,,,,,
"agile-engagement-yellow","Agile Engagement","Yellow","Heavy Hitters","HVY116",,,,10,,,9,
"agile-engagement-yellow","Agile Engagement","Yellow","Heavy Hitters","HVY116",,Rainbow,,2,,,0,
"agile-engagement-blue","Agile Engagement","Blue","Heavy Hitters","HVY117",,,,9,,,6,
"agile-engagement-blue","Agile Engagement","Blue","Heavy Hitters","HVY117",,Rainbow,,0,,,0,
"agile-engagement-blue","Agile Engagement","Blue","Olympia Blitz Deck","OLA023",,,,,,,,
"agile-engagement-blue","Agile Engagement","Blue","Kassai Blitz Deck","KSI023",,,,,,,,
"agile-windup-red","Agile Windup","Red","Heavy Hitters","HVY163",,,,5,,,3,
"agile-windup-red","Agile Windup","Red","Heavy Hitters","HVY163",,Rainbow,,1,,,0,
"agile-windup-red","Agile Windup","Red","Rhinar Blitz Deck","RHI008",,,,,,,,
"agile-windup-red","Agile Windup","Red","Kayo Blitz Deck","KYO007",,,Extended Art,,,,,
"agile-windup-yellow","Agile Windup","Yellow","Heavy Hitters","HVY164",,,,4,,,2,
"agile-windup-yellow","Agile Windup","Yellow","Heavy Hitters","HVY164",,Rainbow,,1,,,0,
"agile-windup-yellow","Agile Windup","Yellow","Rhinar Blitz Deck","RHI017",,,,,,,,
"agile-windup-yellow","Agile Windup","Yellow","Kayo Blitz Deck","KYO016",,,Extended Art,,,,,
"agile-windup-blue","Agile Windup","Blue","Kayo Silver Age Deck","SKA025",,,,,,,,
"agile-windup-blue","Agile Windup","Blue","Armory Deck: Kayo","AKO017",,,,,,,,
"agile-windup-blue","Agile Windup","Blue","Heavy Hitters","HVY165",,,,5,,,3,
"agile-windup-blue","Agile Windup","Blue","Heavy Hitters","HVY165",,Rainbow,,1,,,0,
"agile-windup-blue","Agile Windup","Blue","Kayo Blitz Deck","KYO022",,,Extended Art,,,,,
"agility","Agility","","Boltyn Silver Age Deck","SBL034",,,,,,,,
"agility","Agility","","Kayo Silver Age Deck","SKA034",,,,,,,,
"agility","Agility","","Dorinthea Silver Age Deck","SDO035",,,,,,,,
"agility","Agility","","Armory Deck: Rhinar","ARR029",,,,,,,,
"agility","Agility","","Armory Deck: Kayo","AKO027",,,,,,,,
"agility","Agility","","Heavy Hitters","HVY240",,,,2,,,1,
"agility","Agility","","Rhinar Blitz Deck","RHI029",,,,,,,,
"agility","Agility","","Olympia Blitz Deck","OLA028",,,,,,,,
"agility","Agility","","Kayo Blitz Deck","KYO027",,,,,,,,
"agility","Agility","","Kassai Blitz Deck","KSI028",,,,,,,,
"agility","Agility","","Promos","FAB204",,Cold,,,,,,
"agility","Agility","","Promos","LGS229",,Rainbow,,,,,,
"agility-stance-yellow","Agility Stance","Yellow","The Hunted","HNT125",,,,4,,,2,
"agility-stance-yellow","Agility Stance","Yellow","The Hunted","HNT125",,Rainbow,,1,,,0,
"agility-stance-yellow","Agility Stance","Yellow","Promos","FAB313",,Rainbow,Extended Art,,,,,
"all-in-red","All In","Red","Mastery Pack: Warrior","MPW027",,,,,,,,
"all-in-red","All In","Red","Mastery Pack: Warrior","MPW027",,Rainbow,,,,,,
"alluring-inducement-yellow","Alluring Inducement","Yellow","Dusk till Dawn","DTD215",,,,3,,,0,
"alluring-inducement-yellow","Alluring Inducement","Yellow","Dusk till Dawn","DTD215",,Rainbow,,0,,,0,
"alluvion-constellas","Alluvion Constellas","","Uprising","UPR166",,Cold,,0,,,,
"alluvion-constellas","Alluvion Constellas","","Uprising","UPR166",,Rainbow,,0,,,,
"alluvion-constellas","Alluvion Constellas","","Promos","FAB084",,Gold,,,,,,
"alpha-instinct-blue","Alpha Instinct","Blue","Armory Deck: Rhinar","ARR022",,,,,,,,
"alpha-instinct-blue","Alpha Instinct","Blue","GEM","GEM161",,Rainbow,Extended Art,,,,,
"alpha-rampage-red","Alpha Rampage","Red","Classic Battles: Rhinar vs Dorinthea","RVD008",,,,,,,,
"alpha-rampage-red","Alpha Rampage","Red","History Pack 1","1HP010",,,,0,,,,
"alpha-rampage-red","Alpha Rampage","Red","Welcome to Rathe","WTR006",Unlimited,,,3,,,0,
"alpha-rampage-red","Alpha Rampage","Red","Welcome to Rathe","WTR006",Unlimited,Rainbow,,0,,,0,
"alpha-rampage-red","Alpha Rampage","Red","Welcome to Rathe","WTR006",Alpha,,,,,,,
"alpha-rampage-red","Alpha Rampage","Red","Welcome to Rathe","WTR006",Alpha,Rainbow,,,,,,
"already-dead-red","Already Dead","Red","Bright Lights","EVO236",,,,1,,,0,
"already-dead-red","Already Dead","Red","Bright Lights","EVO236",,Rainbow,,0,,,0,
"amethyst-amulet-blue","Amethyst Amulet","Blue","High Seas","SEA189",,,,0,,,,
"amethyst-amulet-blue","Amethyst Amulet","Blue","High Seas","SEA189",,Cold,Full Art,,,,,
"amethyst-tiara","Amethyst Tiara","","Dynasty","DYN171",,,,0,,,0,
"amethyst-tiara","Amethyst Tiara","","Dynasty","DYN171",,Rainbow,,1,,,0,
"amethyst-tiara","Amethyst Tiara","","Dynasty","DYN171",,Cold,Alternate Border,0,,,0,
"amnesia-red","Amnesia","Red","Outsiders","OUT183",,,,1,,,0,
"amnesia-red","Amnesia","Red","Outsiders","OUT183",,Rainbow,,0,,,0,
"amnesia-red","Amnesia","Red","Promos","ANQ011",,,Alternate Border,0,,,0,
"amnesia-red","Amnesia","Red","Promos","ANQ011",,Cold,Alternate Border,1,,,0,
"amplify-the-arknight-red","Amplify the Arknight","Red","Viserai Silver Age Deck","SVI011",,,,,,,,
"amplify-the-arknight-red","Amplify the Arknight","Red","Armory Deck Legends: Viserai","AVS007",,,,,,,,
"amplify-the-arknight-red","Amplify the Arknight","Red","History Pack 1","1HP282",,,,7,,,7,
"amplify-the-arknight-red","Amplify the Arknight","Red","Arcane Rising","ARC094",Unlimited,,,5,,,2,
"amplify-the-arknight-red","Amplify the Arknight","Red","Arcane Rising","ARC094",Unlimited,Rainbow,,0,,,0,
"amplify-the-arknight-red","Amplify the Arknight","Red","Arcane Rising","ARC094",First,,,,,,,
"amplify-the-arknight-red","Amplify the Arknight","Red","Arcane Rising","ARC094",First,Rainbow,,,,,,
"amplify-the-arknight-yellow","Amplify the Arknight","Yellow","History Pack 1","1HP283",,,,5,,,5,
"amplify-the-arknight-yellow","Amplify the Arknight","Yellow","Arcane Rising","ARC095",Unlimited,,,4,,,2,
"amplify-the-arknight-yellow","Amplify the Arknight","Yellow","Arcane Rising","ARC095",Unlimited,Rainbow,,1,,,0,
"amplify-the-arknight-yellow","Amplify the Arknight","Yellow","Arcane Rising","ARC095",First,,,,,,,
"amplify-the-arknight-yellow","Amplify the Arknight","Yellow","Arcane Rising","ARC095",First,Rainbow,,,,,,
"amplify-the-arknight-blue","Amplify the Arknight","Blue","Armory Deck Legends: Viserai","AVS023",,,,,,,,
"amplify-the-arknight-blue","Amplify the Arknight","Blue","History Pack 1","1HP284",,,,5,,,5,
"amplify-the-arknight-blue","Amplify the Arknight","Blue","Arcane Rising","ARC096",Unlimited,,,3,,,0,
