Identifier,Name,Pitch,Set,Set number,Edition,Foiling,Treatment,Have,Want in trade,Want to buy,Extra for trade,Extra to sell
primeval-bellow-blue,Primeval Bellow,Blue,Welcome to Rathe,WTR037,Unlimited,,,3,,,,
bravo-showstopper,"Bravo, Showstopper",,Welcome to Rathe,WTR038,Unlimited,,,1,,,,
bravo,Bravo,,Welcome to Rathe,WTR039,Unlimited,,,1,,,,
anothos,Anothos,,Welcome to Rathe,WTR040,Unlimited,,,1,,,,
helm-of-isens-peak,Helm of Isen's Peak,,Welcome to Rathe,WTR042,Unlimited,,,1,,,,
crippling-crush-red,Crippling Crush,Red,Welcome to Rathe,WTR043,Unlimited,,,3,,,,
spinal-crush-red,Spinal Crush,Red,Welcome to Rathe,WTR044,Unlimited,,,3,,,,
cranial-crush-blue,Cranial Crush,Blue,Welcome to Rathe,WTR045,Unlimited,,,3,,,,
forged-for-war-yellow,Forged for War,Yellow,Welcome to Rathe,WTR046,Unlimited,,,3,,,,
show-time-blue,Show Time!,Blue,Welcome to Rathe,WTR047,Unlimited,,,3,,,,
disable-red,Disable,Red,Welcome to Rathe,WTR048,Unlimited,,,3,,,,
disable-yellow,Disable,Yellow,Welcome to Rathe,WTR049,Unlimited,,,3,,,,
disable-blue,Disable,Blue,Welcome to Rathe,WTR050,Unlimited,,,3,,,,
staunch-response-red,Staunch Response,Red,Welcome to Rathe,WTR051,Unlimited,,,3,,,,
staunch-response-yellow,Staunch Response,Yellow,Welcome to Rathe,WTR052,Unlimited,,,3,,,,
staunch-response-blue,Staunch Response,Blue,Welcome to Rathe,WTR053,Unlimited,,,3,,,,
blessing-of-deliverance-red,Blessing of Deliverance,Red,Welcome to Rathe,WTR054,Unlimited,,,3,,,,
blessing-of-deliverance-yellow,Blessing of Deliverance,Yellow,Welcome to Rathe,WTR055,Unlimited,,,3,,,,
blessing-of-deliverance-blue,Blessing of Deliverance,Blue,Welcome to Rathe,WTR056,Unlimited,,,3,,,,
buckling-blow-red,Buckling Blow,Red,Welcome to Rathe,WTR057,Unlimited,,,2,,,,
buckling-blow-red,Buckling Blow,Red,Welcome to Rathe,WTR057,Unlimited,Rainbow,,1,,,,
buckling-blow-yellow,Buckling Blow,Yellow,Welcome to Rathe,WTR058,Unlimited,,,3,,,,
buckling-blow-blue,Buckling Blow,Blue,Welcome to Rathe,WTR059,Unlimited,,,2,,,,
buckling-blow-blue,Buckling Blow,Blue,Welcome to Rathe,WTR059,Unlimited,Rainbow,,1,,,,
cartilage-crush-red,Cartilage Crush,Red,Welcome to Rathe,WTR060,Unlimited,,,3,,,,
cartilage-crush-yellow,Cartilage Crush,Yellow,Welcome to Rathe,WTR061,Unlimited,,,3,,,,
cartilage-crush-blue,Cartilage Crush,Blue,Welcome to Rathe,WTR062,Unlimited,,,3,,,,
cartilage-crush-blue,Cartilage Crush,Blue,Welcome to Rathe,WTR062,Unlimited,Rainbow,,1,,,,
crush-confidence-red,Crush Confidence,Red,Welcome to Rathe,WTR063,Unlimited,,,3,,,,
crush-confidence-yellow,Crush Confidence,Yellow,Welcome to Rathe,WTR064,Unlimited,,,3,,,,
crush-confidence-blue,Crush Confidence,Blue,Welcome to Rathe,WTR065,Unlimited,,,4,,,,
debilitate-red,Debilitate,Red,Welcome to Rathe,WTR066,Unlimited,,,3,,,,
debilitate-yellow,Debilitate,Yellow,Welcome to Rathe,WTR067,Unlimited,,,3,,,,
debilitate-blue,Debilitate,Blue,Welcome to Rathe,WTR068,Unlimited,,,3,,,,
emerging-power-red,Emerging Power,Red,Welcome to Rathe,WTR069,Unlimited,,,3,,,,
emerging-power-yellow,Emerging Power,Yellow,Welcome to Rathe,WTR070,Unlimited,,,3,,,,
emerging-power-blue,Emerging Power,Blue,Welcome to Rathe,WTR071,Unlimited,,,3,,,,
stonewall-confidence-red,Stonewall Confidence,Red,Welcome to Rathe,WTR072,Unlimited,,,3,,,,
stonewall-confidence-yellow,Stonewall Confidence,Yellow,Welcome to Rathe,WTR073,Unlimited,,,3,,,,
stonewall-confidence-blue,Stonewall Confidence,Blue,Welcome to Rathe,WTR074,Unlimited,,,3,,,,
seismic-surge,Seismic Surge,,Welcome to Rathe,WTR075,Unlimited,,,1,,,,
katsu-the-wanderer,"Katsu, the Wanderer",,Welcome to Rathe,WTR076,Unlimited,,,1,,,,
katsu,Katsu,,Welcome to Rathe,WTR077,Unlimited,,,1,,,,
harmonized-kodachi,Harmonized Kodachi,,Welcome to Rathe,WTR078,Unlimited,,,2,,,,
breaking-scales,Breaking Scales,,Welcome to Rathe,WTR080,Unlimited,,,2,,,,
lord-of-wind-blue,Lord of Wind,Blue,Welcome to Rathe,WTR081,Unlimited,,,3,,,,
ancestral-empowerment-red,Ancestral Empowerment,Red,Welcome to Rathe,WTR082,Unlimited,,,3,,,,
mugenshi-release-yellow,Mugenshi: RELEASE,Yellow,Welcome to Rathe,WTR083,Unlimited,,,3,,,,
hurricane-technique-yellow,Hurricane Technique,Yellow,Welcome to Rathe,WTR084,Unlimited,,,3,,,,
pounding-gale-red,Pounding Gale,Red,Welcome to Rathe,WTR085,Unlimited,,,3,,,,
fluster-fist-red,Fluster Fist,Red,Welcome to Rathe,WTR086,Unlimited,,,3,,,,
fluster-fist-yellow,Fluster Fist,Yellow,Welcome to Rathe,WTR087,Unlimited,,,3,,,,
fluster-fist-blue,Fluster Fist,Blue,Welcome to Rathe,WTR088,Unlimited,,,3,,,,
blackout-kick-red,Blackout Kick,Red,Welcome to Rathe,WTR089,Unlimited,,,3,,,,
blackout-kick-yellow,Blackout Kick,Yellow,Welcome to Rathe,WTR090,Unlimited,,,2,,,,
blackout-kick-yellow,Blackout Kick,Yellow,Welcome to Rathe,WTR090,Unlimited,Rainbow,,1,,,,
blackout-kick-blue,Blackout Kick,Blue,Welcome to Rathe,WTR091,Unlimited,,,3,,,,
flic-flak-red,Flic Flak,Red,Welcome to Rathe,WTR092,Unlimited,,,3,,,,
flic-flak-yellow,Flic Flak,Yellow,Welcome to Rathe,WTR093,Unlimited,,,3,,,,
flic-flak-blue,Flic Flak,Blue,Welcome to Rathe,WTR094,Unlimited,,,3,,,,
open-the-center-red,Open the Center,Red,Welcome to Rathe,WTR095,Unlimited,,,3,,,,
open-the-center-yellow,Open the Center,Yellow,Welcome to Rathe,WTR096,Unlimited,,,3,,,,
open-the-center-blue,Open the Center,Blue,Welcome to Rathe,WTR097,Unlimited,,,3,,,,
head-jab-red,Head Jab,Red,Welcome to Rathe,WTR098,Unlimited,,,3,,,,
head-jab-yellow,Head Jab,Yellow,Welcome to Rathe,WTR099,Unlimited,,,3,,,,
head-jab-blue,Head Jab,Blue,Welcome to Rathe,WTR100,Unlimited,,,7,,,,
leg-tap-red,Leg Tap,Red,Welcome to Rathe,WTR101,Unlimited,,,3,,,,
leg-tap-red,Leg Tap,Red,Welcome to Rathe,WTR101,Unlimited,Rainbow,,1,,,,
leg-tap-yellow,Leg Tap,Yellow,Welcome to Rathe,WTR102,Unlimited,,,3,,,,
leg-tap-blue,Leg Tap,Blue,Welcome to Rathe,WTR103,Unlimited,,,2,,,,
leg-tap-blue,Leg Tap,Blue,Welcome to Rathe,WTR103,Unlimited,Rainbow,,1,,,,
rising-knee-thrust-red,Rising Knee Thrust,Red,Welcome to Rathe,WTR104,Unlimited,,,3,,,,
rising-knee-thrust-yellow,Rising Knee Thrust,Yellow,Welcome to Rathe,WTR105,Unlimited,,,3,,,,
rising-knee-thrust-blue,Rising Knee Thrust,Blue,Welcome to Rathe,WTR106,Unlimited,,,3,,,,
surging-strike-red,Surging Strike,Red,Welcome to Rathe,WTR107,Unlimited,,,3,,,,
surging-strike-yellow,Surging Strike,Yellow,Welcome to Rathe,WTR108,Unlimited,,,3,,,,
surging-strike-blue,Surging Strike,Blue,Welcome to Rathe,WTR109,Unlimited,,,3,,,,
whelming-gustwave-red,Whelming Gustwave,Red,Welcome to Rathe,WTR110,Unlimited,,,3,,,,
whelming-gustwave-yellow,Whelming Gustwave,Yellow,Welcome to Rathe,WTR111,Unlimited,,,3,,,,
whelming-gustwave-blue,Whelming Gustwave,Blue,Welcome to Rathe,WTR112,Unlimited,,,3,,,,
dorinthea-ironsong,Dorinthea Ironsong,,Welcome to Rathe,WTR113,Unlimited,,,1,,,,
dorinthea,Dorinthea,,Welcome to Rathe,WTR114,Unlimited,,,1,,,,
dawnblade,Dawnblade,,Welcome to Rathe,WTR115,Unlimited,,,1,,,,
refraction-bolters,Refraction Bolters,,Welcome to Rathe,WTR117,Unlimited,,,2,,,,
refraction-bolters,Refraction Bolters,,Welcome to Rathe,WTR117,Unlimited,Rainbow,,1,,,,
glint-the-quicksilver-blue,Glint the Quicksilver,Blue,Welcome to Rathe,WTR118,Unlimited,,,2,,,,
glint-the-quicksilver-blue,Glint the Quicksilver,Blue,Welcome to Rathe,WTR118,Unlimited,Rainbow,,1,,,,
steelblade-supremacy-red,Steelblade Supremacy,Red,Welcome to Rathe,WTR119,Unlimited,,,2,,,,
rout-red,Rout,Red,Welcome to Rathe,WTR120,Unlimited,,,3,,,,
singing-steelblade-yellow,Singing Steelblade,Yellow,Welcome to Rathe,WTR121,Unlimited,,,3,,,,
ironsong-determination-yellow,Ironsong Determination,Yellow,Welcome to Rathe,WTR122,Unlimited,,,3,,,,
overpower-red,Overpower,Red,Welcome to Rathe,WTR123,Unlimited,,,3,,,,
overpower-yellow,Overpower,Yellow,Welcome to Rathe,WTR124,Unlimited,,,2,,,,
overpower-yellow,Overpower,Yellow,Welcome to Rathe,WTR124,Unlimited,Rainbow,,1,,,,
overpower-blue,Overpower,Blue,Welcome to Rathe,WTR125,Unlimited,,,2,,,,
overpower-blue,Overpower,Blue,Welcome to Rathe,WTR125,Unlimited,Rainbow,,1,,,,
steelblade-shunt-red,Steelblade Shunt,Red,Welcome to Rathe,WTR126,Unlimited,,,3,,,,
steelblade-shunt-yellow,Steelblade Shunt,Yellow,Welcome to Rathe,WTR127,Unlimited,,,3,,,,
steelblade-shunt-blue,Steelblade Shunt,Blue,Welcome to Rathe,WTR128,Unlimited,,,3,,,,
warriors-valor-red,Warrior's Valor,Red,Welcome to Rathe,WTR129,Unlimited,,,3,,,,
warriors-valor-yellow,Warrior's Valor,Yellow,Welcome to Rathe,WTR130,Unlimited,,,3,,,,
warriors-valor-blue,Warrior's Valor,Blue,Welcome to Rathe,WTR131,Unlimited,,,3,,,,
ironsong-response-red,Ironsong Response,Red,Welcome to Rathe,WTR132,Unlimited,,,3,,,,
ironsong-response-yellow,Ironsong Response,Yellow,Welcome to Rathe,WTR133,Unlimited,,,3,,,,
ironsong-response-blue,Ironsong Response,Blue,Welcome to Rathe,WTR134,Unlimited,,,3,,,,
biting-blade-red,Biting Blade,Red,Welcome to Rathe,WTR135,Unlimited,,,3,,,,
biting-blade-yellow,Biting Blade,Yellow,Welcome to Rathe,WTR136,Unlimited,,,3,,,,
biting-blade-blue,Biting Blade,Blue,Welcome to Rathe,WTR137,Unlimited,,,3,,,,
stroke-of-foresight-red,Stroke of Foresight,Red,Welcome to Rathe,WTR138,Unlimited,,,3,,,,
stroke-of-foresight-yellow,Stroke of Foresight,Yellow,Welcome to Rathe,WTR139,Unlimited,,,2,,,,
stroke-of-foresight-yellow,Stroke of Foresight,Yellow,Welcome to Rathe,WTR139,Unlimited,Rainbow,,1,,,,
stroke-of-foresight-blue,Stroke of Foresight,Blue,Welcome to Rathe,WTR140,Unlimited,,,3,,,,
sharpen-steel-red,Sharpen Steel,Red,Welcome to Rathe,WTR141,Unlimited,,,3,,,,
sharpen-steel-yellow,Sharpen Steel,Yellow,Welcome to Rathe,WTR142,Unlimited,,,3,,,,
sharpen-steel-blue,Sharpen Steel,Blue,Welcome to Rathe,WTR143,Unlimited,,,2,,,,
sharpen-steel-blue,Sharpen Steel,Blue,Welcome to Rathe,WTR143,Unlimited,Rainbow,,1,,,,
driving-blade-red,Driving Blade,Red,Welcome to Rathe,WTR144,Unlimited,,,3,,,,
driving-blade-yellow,Driving Blade,Yellow,Welcome to Rathe,WTR145,Unlimited,,,3,,,,
driving-blade-blue,Driving Blade,Blue,Welcome to Rathe,WTR146,Unlimited,,,3,,,,
natures-path-pilgrimage-red,Nature's Path Pilgrimage,Red,Welcome to Rathe,WTR147,Unlimited,,,3,,,,
natures-path-pilgrimage-yellow,Nature's Path Pilgrimage,Yellow,Welcome to Rathe,WTR148,Unlimited,,,3,,,,
natures-path-pilgrimage-blue,Nature's Path Pilgrimage,Blue,Welcome to Rathe,WTR149,Unlimited,,,3,,,,
hope-merchants-hood,Hope Merchant's Hood,,Welcome to Rathe,WTR151,Unlimited,,,3,,,,
heartened-cross-strap,Heartened Cross Strap,,Welcome to Rathe,WTR152,Unlimited,,,2,,,,
goliath-gauntlet,Goliath Gauntlet,,Welcome to Rathe,WTR153,Unlimited,,,4,,,,
snapdragon-scalers,Snapdragon Scalers,,Welcome to Rathe,WTR154,Unlimited,,,2,,,,
ironrot-helm,Ironrot Helm,,Welcome to Rathe,WTR155,Unlimited,,,1,,,,
ironrot-plate,Ironrot Plate,,Welcome to Rathe,WTR156,Unlimited,,,2,,,,
ironrot-gauntlet,Ironrot Gauntlet,,Welcome to Rathe,WTR157,Unlimited,Rainbow,,1,,,,
ironrot-legs,Ironrot Legs,,Welcome to Rathe,WTR158,Unlimited,,,2,,,,
tome-of-fyendal-yellow,Tome of Fyendal,Yellow,Welcome to Rathe,WTR160,Unlimited,,,1,,,,
last-ditch-effort-blue,Last Ditch Effort,Blue,Welcome to Rathe,WTR161,Unlimited,,,3,,,,
crazy-brew-blue,Crazy Brew,Blue,Welcome to Rathe,WTR162,Unlimited,,,3,,,,
drone-of-brutality-red,Drone of Brutality,Red,Welcome to Rathe,WTR164,Unlimited,,,3,,,,
drone-of-brutality-yellow,Drone of Brutality,Yellow,Welcome to Rathe,WTR165,Unlimited,,,3,,,,
drone-of-brutality-blue,Drone of Brutality,Blue,Welcome to Rathe,WTR166,Unlimited,,,3,,,,
snatch-red,Snatch,Red,Welcome to Rathe,WTR167,Unlimited,,,3,,,,
snatch-yellow,Snatch,Yellow,Welcome to Rathe,WTR168,Unlimited,,,3,,,,
snatch-blue,Snatch,Blue,Welcome to Rathe,WTR169,Unlimited,,,3,,,,
energy-potion-blue,Energy Potion,Blue,Welcome to Rathe,WTR170,Unlimited,,,3,,,,
potion-of-strength-blue,Potion of Strength,Blue,Welcome to Rathe,WTR171,Unlimited,,,3,,,,
timesnap-potion-blue,Timesnap Potion,Blue,Welcome to Rathe,WTR172,Unlimited,,,3,,,,
sigil-of-solace-red,Sigil of Solace,Red,Welcome to Rathe,WTR173,Unlimited,,,3,,,,
sigil-of-solace-yellow,Sigil of Solace,Yellow,Welcome to Rathe,WTR174,Unlimited,,,3,,,,
sigil-of-solace-blue,Sigil of Solace,Blue,Welcome to Rathe,WTR175,Unlimited,,,3,,,,
barraging-brawnhide-red,Barraging Brawnhide,Red,Welcome to Rathe,WTR176,Unlimited,,,3,,,,
barraging-brawnhide-yellow,Barraging Brawnhide,Yellow,Welcome to Rathe,WTR177,Unlimited,,,3,,,,
barraging-brawnhide-blue,Barraging Brawnhide,Blue,Welcome to Rathe,WTR178,Unlimited,,,3,,,,
demolition-crew-red,Demolition Crew,Red,Welcome to Rathe,WTR179,Unlimited,,,3,,,,
demolition-crew-yellow,Demolition Crew,Yellow,Welcome to Rathe,WTR180,Unlimited,,,2,,,,
demolition-crew-yellow,Demolition Crew,Yellow,Welcome to Rathe,WTR180,Unlimited,Rainbow,,1,,,,
demolition-crew-blue,Demolition Crew,Blue,Welcome to Rathe,WTR181,Unlimited,,,3,,,,
flock-of-the-feather-walkers-red,Flock of the Feather Walkers,Red,Welcome to Rathe,WTR182,Unlimited,,,3,,,,
flock-of-the-feather-walkers-yellow,Flock of the Feather Walkers,Yellow,Welcome to Rathe,WTR183,Unlimited,,,3,,,,
flock-of-the-feather-walkers-blue,Flock of the Feather Walkers,Blue,Welcome to Rathe,WTR184,Unlimited,,,3,,,,
nimble-strike-red,Nimble Strike,Red,Welcome to Rathe,WTR185,Unlimited,,,2,,,,
nimble-strike-red,Nimble Strike,Red,Welcome to Rathe,WTR185,Unlimited,Rainbow,,1,,,,
nimble-strike-yellow,Nimble Strike,Yellow,Welcome to Rathe,WTR186,Unlimited,,,3,,,,
nimble-strike-blue,Nimble Strike,Blue,Welcome to Rathe,WTR187,Unlimited,,,3,,,,
raging-onslaught-red,Raging Onslaught,Red,Welcome to Rathe,WTR188,Unlimited,,,3,,,,
raging-onslaught-yellow,Raging Onslaught,Yellow,Welcome to Rathe,WTR189,Unlimited,,,3,,,,
raging-onslaught-blue,Raging Onslaught,Blue,Welcome to Rathe,WTR190,Unlimited,,,3,,,,
welcome-to-rathe-red,Welcome to Rathe,Red,Welcome to Rathe,WTR191,Unlimited,,,5,,,,
welcome-to-rathe-yellow,Welcome to Rathe,Yellow,Welcome to Rathe,WTR192,Unlimited,,,3,,,,
welcome-to-rathe-blue,Welcome to Rathe,Blue,Welcome to Rathe,WTR193,Unlimited,,,3,,,,
scour-the-battlescape-red,Scour the Battlescape,Red,Welcome to Rathe,WTR194,Unlimited,,,2,,,,
scour-the-battlescape-red,Scour the Battlescape,Red,Welcome to Rathe,WTR194,Unlimited,Rainbow,,1,,,,
scour-the-battlescape-yellow,Scour the Battlescape,Yellow,Welcome to Rathe,WTR195,Unlimited,,,3,,,,
scour-the-battlescape-blue,Scour the Battlescape,Blue,Welcome to Rathe,WTR196,Unlimited,,,3,,,,
regurgitating-slog-red,Regurgitating Slog,Red,Welcome to Rathe,WTR197,Unlimited,,,3,,,,
regurgitating-slog-yellow,Regurgitating Slog,Yellow,Welcome to Rathe,WTR198,Unlimited,,,3,,,,
regurgitating-slog-blue,Regurgitating Slog,Blue,Welcome to Rathe,WTR199,Unlimited,,,2,,,,
regurgitating-slog-blue,Regurgitating Slog,Blue,Welcome to Rathe,WTR199,Unlimited,Rainbow,,1,,,,
wounded-bull-red,Wounded Bull,Red,Welcome to Rathe,WTR200,Unlimited,,,3,,,,
wounded-bull-yellow,Wounded Bull,Yellow,Welcome to Rathe,WTR201,Unlimited,,,3,,,,
wounded-bull-blue,Wounded Bull,Blue,Welcome to Rathe,WTR202,Unlimited,,,3,,,,
wounding-blow-red,Wounding Blow,Red,Welcome to Rathe,WTR203,Unlimited,,,3,,,,
wounding-blow-yellow,Wounding Blow,Yellow,Welcome to Rathe,WTR204,Unlimited,,,3,,,,
wounding-blow-blue,Wounding Blow,Blue,Welcome to Rathe,WTR205,Unlimited,,,3,,,,
wounding-blow-blue,Wounding Blow,Blue,Welcome to Rathe,WTR205,Unlimited,Rainbow,,1,,,,
pummel-red,Pummel,Red,Welcome to Rathe,WTR206,Unlimited,,,3,,,,
pummel-yellow,Pummel,Yellow,Welcome to Rathe,WTR207,Unlimited,,,3,,,,
pummel-yellow,Pummel,Yellow,Welcome to Rathe,WTR207,Unlimited,Rainbow,,1,,,,
pummel-blue,Pummel,Blue,Welcome to Rathe,WTR208,Unlimited,,,3,,,,
razor-reflex-red,Razor Reflex,Red,Welcome to Rathe,WTR209,Unlimited,,,3,,,,
razor-reflex-yellow,Razor Reflex,Yellow,Welcome to Rathe,WTR210,Unlimited,,,3,,,,
razor-reflex-blue,Razor Reflex,Blue,Welcome to Rathe,WTR211,Unlimited,,,2,,,,
razor-reflex-blue,Razor Reflex,Blue,Welcome to Rathe,WTR211,Unlimited,Rainbow,,1,,,,
unmovable-red,Unmovable,Red,Welcome to Rathe,WTR212,Unlimited,,,3,,,,
unmovable-yellow,Unmovable,Yellow,Welcome to Rathe,WTR213,Unlimited,,,2,,,,
unmovable-yellow,Unmovable,Yellow,Welcome to Rathe,WTR213,Unlimited,Rainbow,,1,,,,
unmovable-blue,Unmovable,Blue,Welcome to Rathe,WTR214,Unlimited,,,3,,,,
sink-below-red,Sink Below,Red,Welcome to Rathe,WTR215,Unlimited,,,3,,,,
sink-below-yellow,Sink Below,Yellow,Welcome to Rathe,WTR216,Unlimited,,,3,,,,
sink-below-blue,Sink Below,Blue,Welcome to Rathe,WTR217,Unlimited,,,3,,,,
nimblism-red,Nimblism,Red,Welcome to Rathe,WTR218,Unlimited,,,3,,,,
nimblism-yellow,Nimblism,Yellow,Welcome to Rathe,WTR219,Unlimited,,,3,,,,
nimblism-blue,Nimblism,Blue,Welcome to Rathe,WTR220,Unlimited,,,3,,,,
sloggism-red,Sloggism,Red,Welcome to Rathe,WTR221,Unlimited,,,3,,,,
sloggism-yellow,Sloggism,Yellow,Welcome to Rathe,WTR222,Unlimited,,,3,,,,
sloggism-blue,Sloggism,Blue,Welcome to Rathe,WTR223,Unlimited,,,3,,,,
cracked-bauble-yellow,Cracked Bauble,Yellow,Welcome to Rathe,WTR224,Unlimited,,,2,,,,
quicken,Quicken,,Welcome to Rathe,WTR225,Unlimited,,,3,,,,
dash-inventor-extraordinaire,"Dash, Inventor Extraordinaire",,Arcane Rising,ARC001,Unlimited,,,1,,,,
dash,Dash,,Arcane Rising,ARC002,Unlimited,,,1,,,,
teklo-plasma-pistol,Teklo Plasma Pistol,,Arcane Rising,ARC003,Unlimited,,,1,,,,
achilles-accelerator,Achilles Accelerator,,Arcane Rising,ARC005,Unlimited,,,2,,,,
maximum-velocity-red,Maximum Velocity,Red,Arcane Rising,ARC008,Unlimited,Rainbow,,1,,,,
pedal-to-the-metal-red,Pedal to the Metal,Red,Arcane Rising,ARC011,Unlimited,,,3,,,,
pedal-to-the-metal-yellow,Pedal to the Metal,Yellow,Arcane Rising,ARC012,Unlimited,,,3,,,,
pedal-to-the-metal-blue,Pedal to the Metal,Blue,Arcane Rising,ARC013,Unlimited,,,3,,,,
pour-the-mold-red,Pour the Mold,Red,Arcane Rising,ARC014,Unlimited,,,3,,,,
pour-the-mold-yellow,Pour the Mold,Yellow,Arcane Rising,ARC015,Unlimited,,,2,,,,
pour-the-mold-yellow,Pour the Mold,Yellow,Arcane Rising,ARC015,Unlimited,Rainbow,,1,,,,
pour-the-mold-blue,Pour the Mold,Blue,Arcane Rising,ARC016,Unlimited,,,3,,,,
aether-sink-yellow,Aether Sink,Yellow,Arcane Rising,ARC017,Unlimited,,,3,,,,
cognition-nodes-blue,Cognition Nodes,Blue,Arcane Rising,ARC018,Unlimited,,,2,,,,
cognition-nodes-blue,Cognition Nodes,Blue,Arcane Rising,ARC018,Unlimited,Rainbow,,1,,,,
convection-amplifier-red,Convection Amplifier,Red,Arcane Rising,ARC019,Unlimited,,,2,,,,
convection-amplifier-red,Convection Amplifier,Red,Arcane Rising,ARC019,Unlimited,Rainbow,,1,,,,
over-loop-red,Over Loop,Red,Arcane Rising,ARC020,Unlimited,,,5,,,,
over-loop-yellow,Over Loop,Yellow,Arcane Rising,ARC021,Unlimited,,,5,,,,
over-loop-yellow,Over Loop,Yellow,Arcane Rising,ARC021,Unlimited,Rainbow,,1,,,,
over-loop-blue,Over Loop,Blue,Arcane Rising,ARC022,Unlimited,,,4,,,,
throttle-red,Throttle,Red,Arcane Rising,ARC023,Unlimited,,,6,,,,
throttle-red,Throttle,Red,Arcane Rising,ARC023,Unlimited,Rainbow,,1,,,,
throttle-yellow,Throttle,Yellow,Arcane Rising,ARC024,Unlimited,,,5,,,,
throttle-blue,Throttle,Blue,Arcane Rising,ARC025,Unlimited,,,4,,,,
throttle-blue,Throttle,Blue,Arcane Rising,ARC025,Unlimited,Rainbow,,1,,,,
zero-to-sixty-red,Zero to Sixty,Red,Arcane Rising,ARC026,Unlimited,,,6,,,,
zero-to-sixty-red,Zero to Sixty,Red,Arcane Rising,ARC026,Unlimited,Rainbow,,1,,,,
